Dish Name,Carbohydrates (g),Protein (g),Fats (g)
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),52.86,6.71,21.86
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),50.9,5.68,27.03
Gram flour ladoo (Besan ladoo),62.61,8.93,22.76
Sesame ladoo (Til ke ladoo),43.5,10.7,19.64
Chenna murki,36.01,10.46,8.2
Milk cake,9.13,3.01,8.93
Ghujia/Lavang latika,13.0,1.86,78.93
Gulab Jamun with khoya,26.09,2.03,53.23
Mal pua,17.56,1.71,54.64
Shahi tukre,41.46,2.76,2.54
Potato pakora/pakoda (Aloo pakoda),6.04,1.9,71.84
Onion pakora/pakoda (Pyaaz ke pakode),5.41,1.9,71.84
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),4.52,1.98,71.86
Mixed vegetable pakora/pakoda,5.12,1.94,71.86
Spinach pakora/pakoda (Palak pakoda),4.68,1.96,76.38
Methi pakora/pakoda (Methi ke pakode),4.68,2.06,76.39
Egg pakora/pakoda (Ande ke pakode),4.48,2.83,75.86
Bread pakora/pakoda,8.87,2.57,74.2
Paneer pakora/pakoda,5.52,3.27,76.05
Potato bonda (Aloo bonda),4.53,1.09,67.8
Potato samosa (Aloo ka samosa),9.21,1.71,59.19
Minced meat samosa (Keema ka samosa),6.14,4.43,64.26
Paneer and pea samosa (Paneer matar ka samosa),8.55,4.02,63.65
Mathri,12.32,1.75,83.1
Khasta kachori,12.81,2.51,72.27
Vegetable cutlet,4.68,1.25,71.33
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),7.39,1.76,73.89
Peanut cutlet (Mungfali ke cutlet),5.68,2.63,74.0
Fish cutlet (Machli ka cutlet),3.13,2.77,70.11
Paneer potato cutlet (Paneer aloo cutlet),5.23,2.47,71.4
Spinach chickpeas cutlet (Palak channa dal cutlet),4.93,1.44,73.6
Cheese toast,5.49,1.98,84.11
Vegetable burger,13.69,3.26,50.63
Cheese pizza,30.62,5.79,12.43
Vegetable seekh kebab,5.32,1.57,73.72
Masala vada,4.06,1.69,89.15
Peanut sago vada (Sabudana mungfali vada),7.14,1.01,79.82
Vegeterian scotch egg,4.64,2.16,72.77
Paneer shaslik/tikka,7.98,5.11,4.49
Peanut brittle (Moongfali ki chikki),47.46,6.94,11.13
Spring roll,8.56,1.81,64.63
Dry mango chutney (Sookhe aam ki chutney),69.17,2.43,0.7
Peanut chutney (Mungfali ki chutney),9.87,11.8,19.06
